Timestamp;p227;p235;PUMP_1
2018-01-01 00:00:00;77,77;83,93;44,04
2018-01-01 00:05:00;72,51;76,34;44,06
2018-01-01 00:10:00;71,54;78,68;44,06
2018-01-01 00:15:00;69,85;75,5;44,07
2018-01-01 00:20:00;77,12;82,99;44,03
2018-01-01 00:25:00;69,85;75,08;44,06
2018-01-01 00:30:00;65,61;68,3;44,08
2018-01-01 00:35:00;70,53;74,14;44,05
2018-01-01 00:40:00;66,49;73,03;44,06
2018-01-01 00:45:00;67,8;71,6;44,05
2018-01-01 00:50:00;62,88;69,25;44,07
2018-01-01 00:55:00;60,41;67,03;44,07
2018-01-01 01:00:00;63,72;69,54;44,06
2018-01-01 01:05:00;60,29;64,54;44,07
2018-01-01 01:10:00;60,59;66,1;44,06
2018-01-01 01:15:00;57,57;61,95;44,07
2018-01-01 01:20:00;58,73;63,42;44,07
2018-01-01 01:25:00;53,81;59,1;44,08
2018-01-01 01:30:00;53,38;60,01;44,07
2018-01-01 01:35:00;55,71;61,47;44,06
2018-01-01 01:40:00;52,02;57,55;44,07
2018-01-01 01:45:00;52,33;57,61;44,07
2018-01-01 01:50:00;50,31;55,24;44,07
2018-01-01 01:55:00;52,04;58,39;44,06
2018-01-01 02:00:00;51,66;57,21;44,06
2018-01-01 02:05:00;47,23;52,77;44,07
2018-01-01 02:10:00;26,16;28,22;0
2018-01-01 02:15:00;25,39;27,52;0
2018-01-01 02:20:00;26,96;30,08;0
2018-01-01 02:25:00;25,46;28,53;0
2018-01-01 02:30:00;25,33;27,28;0
2018-01-01 02:35:00;25,9;28,67;0
2018-01-01 02:40:00;23,71;26,29;0
2018-01-01 02:45:00;26,25;28,61;0
2018-01-01 02:50:00;24,05;27,55;0
2018-01-01 02:55:00;23,17;25,54;0
2018-01-01 03:00:00;23,1;25,71;0
2018-01-01 03:05:00;22,99;25,36;0
2018-01-01 03:10:00;21,94;23,72;0
2018-01-01 03:15:00;21,28;23,87;0
2018-01-01 03:20:00;22,73;25,33;0
2018-01-01 03:25:00;22,61;25,03;0
2018-01-01 03:30:00;21,61;24,45;0
2018-01-01 03:35:00;22,99;25,86;0
2018-01-01 03:40:00;19,9;22,98;0
2018-01-01 03:45:00;20,72;22,18;0
2018-01-01 03:50:00;21,35;24,56;0
2018-01-01 03:55:00;19,77;22,31;0
2018-01-01 04:00:00;19,87;21,29;0
2018-01-01 04:05:00;18,55;20,66;0
2018-01-01 04:10:00;20,88;22,48;0
2018-01-01 04:15:00;19,57;21,77;0
2018-01-01 04:20:00;22,64;25,22;0
2018-01-01 04:25:00;17,53;19,67;0
2018-01-01 04:30:00;20,02;22,59;0
2018-01-01 04:35:00;17,2;18,36;0
2018-01-01 04:40:00;22,36;25,29;0
2018-01-01 04:45:00;19,53;22,08;0
2018-01-01 04:50:00;20,72;23,34;0
2018-01-01 04:55:00;21,01;24,37;0
2018-01-01 05:00:00;21,2;22,92;0
2018-01-01 05:05:00;21,12;24,44;0
2018-01-01 05:10:00;24,25;26,6;0
2018-01-01 05:15:00;21,49;23,12;0
2018-01-01 05:20:00;26,71;30,22;0
2018-01-01 05:25:00;27,13;30,13;0
2018-01-01 05:30:00;26,82;29,01;0
2018-01-01 05:35:00;24,73;27,18;0
2018-01-01 05:40:00;28,01;30,36;0
2018-01-01 05:45:00;32,18;33,18;0
2018-01-01 05:50:00;33,6;35,52;0
2018-01-01 05:55:00;34,49;37,42;0
2018-01-01 06:00:00;39,04;42,56;0
2018-01-01 06:05:00;36,98;37,77;0
2018-01-01 06:10:00;48,3;50,78;0
2018-01-01 06:15:00;52,14;53,91;0
2018-01-01 06:20:00;54,73;56;0
2018-01-01 06:25:00;55,15;57,09;0
2018-01-01 06:30:00;54,03;57,63;0
2018-01-01 06:35:00;68,61;70,35;0
2018-01-01 06:40:00;62,78;66,02;0
2018-01-01 06:45:00;66,12;65,47;0
2018-01-01 06:50:00;63,57;64,57;0
2018-01-01 06:55:00;63,75;66,64;0
2018-01-01 07:00:00;68,13;67,47;0
2018-01-01 07:05:00;74,08;76,91;0
2018-01-01 07:10:00;74,6;75,29;0
2018-01-01 07:15:00;68,25;72,5;0
2018-01-01 07:20:00;80,84;84,48;0
2018-01-01 07:25:00;80,25;82,4;0
2018-01-01 07:30:00;87,47;90,44;0
2018-01-01 07:35:00;88,28;91,48;0
2018-01-01 07:40:00;92,02;94,55;0
2018-01-01 07:45:00;91,08;91,83;0
2018-01-01 07:50:00;83,85;85,69;0
2018-01-01 07:55:00;85,75;88,66;0
2018-01-01 08:00:00;89,87;91,87;0
2018-01-01 08:05:00;82,82;86,03;0
2018-01-01 08:10:00;86,94;89,99;0
2018-01-01 08:15:00;87,31;85,75;0
2018-01-01 08:20:00;92,47;94,43;0
2018-01-01 08:25:00;89,65;95,46;0
2018-01-01 08:30:00;84,18;88,89;0
2018-01-01 08:35:00;93,5;97,97;0
2018-01-01 08:40:00;94,76;96,54;0
2018-01-01 08:45:00;83,03;86,22;0
2018-01-01 08:50:00;84,78;90,68;0
2018-01-01 08:55:00;80,81;85,58;0
2018-01-01 09:00:00;82;86,3;0
2018-01-01 09:05:00;89,97;93,4;0
2018-01-01 09:10:00;93,66;97,13;0
2018-01-01 09:15:00;84,96;87,06;0
2018-01-01 09:20:00;98,01;102,06;0
2018-01-01 09:25:00;84,85;87,04;0
2018-01-01 09:30:00;85,59;89,61;0
2018-01-01 09:35:00;88,17;91,91;0
2018-01-01 09:40:00;90,67;96,93;0
2018-01-01 09:45:00;83,19;86,97;0
2018-01-01 09:50:00;92,83;95,12;0
2018-01-01 09:55:00;87,47;91,15;0
2018-01-01 10:00:00;87,53;89,57;0
2018-01-01 10:05:00;87,77;94,6;0
2018-01-01 10:10:00;91,77;97,26;0
2018-01-01 10:15:00;93,97;95,75;0
2018-01-01 10:20:00;93,31;95,31;0
2018-01-01 10:25:00;88,77;95,48;0
2018-01-01 10:30:00;92,93;97,51;0
2018-01-01 10:35:00;85,88;86,31;0
2018-01-01 10:40:00;97,43;100,29;0
2018-01-01 10:45:00;92,1;97,62;0
2018-01-01 10:50:00;99,27;103,79;0
